Setting,Seed,FID Score,Epochs,FIDs
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001,2,78.76390928871933,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[334.8890978494196, 135.1952587425693, 75.40035142864133, 59.81931252805771, 45.840421603347295, 55.96996433365291, 76.42922230124111, 85.83666231320137, 85.2045969169335, 78.76390928871933]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001,2,57.68123644307752,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1010.9001933328935, 230.24615237575085, 109.71703385111209, 63.53702637386675, 73.8976312344522, 75.47284343932915, 70.33555668352403, 45.85482107960502, 54.6340880881296, 57.68123644307752]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001,1,85.2939024434695,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[270.6816896593025, 128.4651033140558, 85.73545950803737, 48.44180521666681, 44.80534592902677, 81.28714802183833, 66.2418685154206, 74.26548198512933, 87.50768528125923, 85.2939024434695]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001,3,90.49942511046379,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[323.9015960265141, 120.63772848752922, 75.87967880420581, 62.395912691473995, 52.10475305912723, 57.11007543866981, 71.2078318570866, 93.63744459104021, 92.4588657986609, 90.49942511046379]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005,4,127.91502432165703,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[769.3360231856911, 192.75199841062658, 70.54024976496441, 63.98888935061234, 52.471222444341834, 42.124189013930845, 47.58353201953014, 82.98923370469424, 101.52554551254934, 127.91502432165703]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005,1,124.6714732861692,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[639.5740716207426, 168.16703481862078, 103.02721914729, 92.0426400424974, 84.73035680202145, 72.0184842948388, 80.77595454759478, 125.00666814730664, 130.74879000126703, 124.6714732861692]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005,3,150.54760834123886,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[703.7055535660991, 200.7954500819236, 99.20366590527465, 66.02427043422313, 88.46626909869633, 158.81993203713432, 149.97914296609315, 145.6480391491399, 127.39285787116796, 150.54760834123886]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001,5,2174.518260199353,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2174.1948428265587, 2174.487085626417, 2174.485866301502, 2174.154599137422, 2173.655275304521, 2175.351345854558, 2172.7534886913604, 2173.2576846953534, 2176.0431622739393, 2174.518260199353]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001,4,73.32265179447586,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[362.362434443349, 142.0475873036071, 67.01412269913203, 61.26537736269904, 52.47683814410448, 55.172922411944455, 70.83624897093569, 69.72834726078077, 95.90062549508843, 73.32265179447586]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001,5,90.6136210976581,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[262.32339862824324, 123.77894427186618, 85.444306237776, 56.276362736166675, 59.720564606422954, 50.340029801236255, 61.69596458982289, 90.92362243141883, 88.70597956897461, 90.6136210976581]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005,2,101.88978800453322,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[524.1667277114713, 141.2633721772637, 84.67551310332897, 58.42258090204018, 49.818713602480216, 39.88548449823861, 52.48225722102188, 58.38574587703249, 80.91996946014888, 101.88978800453322]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001,6,95.52025042544017,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[417.7353585740789, 151.2767037306612, 77.27691699765285, 68.40152119177742, 63.998766776260254, 51.476685999594906, 69.0187403451331, 71.56391940970514, 83.54572594106355, 95.52025042544017]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001,8,1764.2785012548475,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[840.9984884135961, 267.7436055584262, 125.6461187669338, 70.62545314553199, 93.3950795766466, 75.49484174746124, 43.83346813493495, 60.060962269338006, 81.50033949633382, 1764.2785012548475]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001,1,58.02632589898667,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1783.1464086989347, 689.4649607051545, 227.5219850766034, 129.14954493127664, 88.4561598043797, 62.424273650693294, 50.97849662527199, 61.98852978478442, 60.518250058875196, 58.02632589898667]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001,7,127.31924217174515,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[771.6723409255727, 204.33830180548557, 98.68042367463829, 76.01024343288987, 79.40827757759496, 67.28199274805274, 45.65978260895099, 78.54874191980207, 144.68882627375, 127.31924217174515]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001,4,133.27334940428057,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[992.5735204859559, 216.19076634043006, 132.87776519945487, 66.99875565278137, 74.70892549363464, 59.357820845276365, 67.29857433429152, 137.31953241568021, 144.00485808045187, 133.27334940428057]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001,3,148.93373085167343,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1405.5544506695564, 267.93400477047544, 105.37075874558116, 82.62369201606668, 80.37441770443229, 86.68798991016547, 58.689725425399274, 59.886708791773, 147.02087348632165, 148.93373085167343]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005,5,80.96079635299884,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[593.6455026628033, 167.4626920130537, 90.06546474910454, 54.3313889041774, 46.24713807807268, 52.460168541223084, 66.40155785377692, 76.58428831581102, 56.60752501499201, 80.96079635299884]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001,9,77.39857604097597,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[316.8725220155709, 113.71535516072345, 84.74293334338665, 66.93305385345798, 61.28530102996433, 71.60257027873342, 69.84779384100068, 75.63064978030991, 74.87145545238616, 77.39857604097597]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005,7,135.50036963779837,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[457.58536698306966, 209.89600622268313, 92.72119618090835, 76.44546112437865, 139.7139794304344, 148.21281123550352, 158.78316902586664, 136.26043472369474, 124.0037366379895, 135.50036963779837]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005,6,95.16115255823945,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[611.5266791976875, 192.15660836770974, 110.26800275799951, 58.93503280286063, 56.83469689115407, 47.025335716199606, 59.87718679390093, 68.10670035243106, 65.77844467003297, 95.16115255823945]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001,6,75.95018438959437,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[653.2589171451128, 186.9306779689067, 86.70646507089441, 77.49946988351905, 74.17081393413787, 41.941025036054384, 65.93741275903562, 44.321382710981425, 46.54811040522816, 75.95018438959437]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005,9,41.192977623753904,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[821.6200372599872, 189.76963483843235, 81.25640617302679, 54.93653794009492, 53.13719841971772, 38.403914620014575, 46.26553166911151, 56.783370493586744, 49.2851615065008, 41.192977623753904]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005,8,91.64685900663198,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[594.0718620344202, 178.39829144326268, 82.55538787001638, 68.2835813592385, 56.11010420222135, 57.8921444720105, 93.15098903235196, 106.97889381232199, 100.31553049315505, 91.64685900663198]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001,7,73.80608709473051,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[274.61926828840865, 124.99222270617918, 69.96543745074905, 62.133065598427265, 44.90596246758571, 44.3471303210257, 55.15159938069576, 81.13459807422487, 87.61153202890068, 73.80608709473051]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001,10,84.8630901569735,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[402.476255701177, 134.34922240409196, 98.6326744271089, 75.82620337788353, 54.360965679643755, 74.72844381114078, 83.36444793246062, 83.12370440863083, 90.05676622685576, 84.8630901569735]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001,8,88.26217430164354,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[417.27589865500863, 133.52117245730938, 76.668203656473, 64.05523909335136, 85.34781420602428, 82.81529322582355, 83.06073861183654, 77.18072639768093, 96.72844077160562, 88.26217430164354]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001,10,38.8778890142537,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[894.6980287191727, 235.07342926960223, 77.05306058954136, 61.88363434396979, 52.449726650414505, 55.97816236202311, 58.16730370087214, 47.84509135630651, 61.01803504055874, 38.8778890142537]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001,9,48.7616573193194,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1304.9550817623494, 294.9855007077025, 91.36079338293519, 107.44485569402332, 58.36297768565203, 60.878140721804584, 48.35659290565775, 75.48820738293944, 47.414162667170444, 48.7616573193194]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005,10,1865.3333127695191,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1863.2096534998204, 1862.775833882464, 1863.8399256708108, 1863.9902951370862, 1864.4133670404456, 1863.7748441020462, 1863.3866374124864, 1862.4280605208814, 1865.5328157650106, 1865.3333127695191]"
